REPEAT       := 3
> bench: embedders:heap/update/wasm64_update_read_bwd_1gb_step_5mb_checkpoint     3 ms/iter
> bench: embedders:heap/update/wasm32_update_read_bwd_1gb_step_5mb_page_delta     4 ms/iter
> bench: embedders:heap/update/wasm64_update_read_bwd_1gb_step_5mb_page_delta     4 ms/iter
> bench: embedders:heap/update/wasm32_update_read_bwd_1gb_step_5mb_new_allocation     2 ms/iter
> bench: embedders:heap/update/wasm64_update_read_bwd_1gb_step_5mb_new_allocation     2 ms/iter
> bench: embedders:heap/update/wasm32_update_read_bwd_1gb_step_500mb_checkpoint       ms/iter
> bench: embedders:heap/update/wasm64_update_read_bwd_1gb_step_500mb_checkpoint       ms/iter
> bench: embedders:heap/update/wasm32_update_read_bwd_1gb_step_500mb_page_delta       ms/iter
> bench: embedders:heap/update/wasm64_update_read_bwd_1gb_step_500mb_page_delta       ms/iter
> bench: embedders:heap/update/wasm32_update_read_bwd_1gb_step_500mb_new_allocation       ms/iter
> bench: embedders:heap/update/wasm64_update_read_bwd_1gb_step_500mb_new_allocation       ms/iter
> bench: embedders:heap/query/wasm32_query_write_fwd_1gb_step_2mb_checkpoint     9 ms/iter
> bench: embedders:heap/query/wasm64_query_write_fwd_1gb_step_2mb_checkpoint     8 ms/iter
> bench: embedders:heap/query/wasm32_query_write_fwd_1gb_step_2mb_page_delta     7 ms/iter
> bench: embedders:heap/query/wasm64_query_write_fwd_1gb_step_2mb_page_delta     7 ms/iter
> bench: embedders:heap/query/wasm32_query_write_fwd_1gb_step_2mb_new_allocation     7 ms/iter
> bench: embedders:heap/query/wasm64_query_write_fwd_1gb_step_2mb_new_allocation     7 ms/iter
> bench: embedders:heap/query/wasm32_query_write_fwd_1gb_step_5mb_checkpoint     3 ms/iter
> bench: embedders:heap/query/wasm64_query_write_fwd_1gb_step_5mb_checkpoint     3 ms/iter
> bench: embedders:heap/query/wasm32_query_write_fwd_1gb_step_5mb_page_delta     3 ms/iter
> bench: embedders:heap/query/wasm64_query_write_fwd_1gb_step_5mb_page_delta     3 ms/iter
> bench: embedders:heap/query/wasm32_query_write_fwd_1gb_step_5mb_new_allocation     3 ms/iter
> bench: embedders:heap/query/wasm64_query_write_fwd_1gb_step_5mb_new_allocation     3 ms/iter
